CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
L15249UP1933PLC000511,Dhampur Sugar Mills Limited,0.79,0.05,NA,NA,NA,NA,0,0,189.78,2.95
L15311DL1993PLC052624,Dfm Foods Limited,12.02,0.24,12.4,0.25,21.17,0.42,24.94,0,29.7,0.6
L15311MP2009PLC021746,PRATAAP SNACKS LIMITED,NA,NA,NA,NA,NA,NA,21.45,0.43,NA,NA
L15312JK2004PLC002444,SARVESHWAR FOODS LIMITED,NA,NA,NA,NA,NA,NA,10.35,0.03,12.16,0.17
L15313PN1993PLC070263,POONA DAL AND OIL INDUSTRIES LIMITED,NA,NA,NA,NA,NA,NA,5.87,0.08,6.41,0
L15314TN1961PLC004674,KLRF LIMITED,NA,NA,0,0,1.5,0.03,2.93,0.06,3.47,0.07
L15314WB1949PLC018494,MANAS FLOUR MILLS LTD,NA,NA,NA,NA,NA,NA,4.66,0.1,6.86,0.14
L15319PB1979PLC012267,Oswal Agro Mills Limited,17.84,0,NA,NA,0,0,-13.31,0.24,-5.03,0.2
L15321PB1944PLC001925,Sukhjit Starch And Chemicals Ltd,25.8,0.55,28.38,0.57,30.93,0.62,32.62,0.68,32.05,0.72
L15331KL1963PLC002028,Kse Limited,15.29,0.31,27.88,0.56,29.76,0.6,30.11,0.6,47.61,1.22
L15400GJ1981PLC004170,MISHTANN FOODS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.93,0.08
L15400GJ1990PLC014265,Adf Foods Limited,15.91,0,16.52,0.65,19.74,0.39,20.09,0.42,25.03,0.48
L15400GJ1992PLC017626,Vimal Oil & Foods Ltd,19.17,0,24.6,0,NA,NA,NA,NA,NA,NA
L15400GJ1992PLC018365,Freshtrop Fruits Limited,4.75,0.05,8.83,0.18,11.24,0.22,13.06,0.04,12.64,0.04
L15400HR1994PLC036433,Vikas Granaries Limited,NA,NA,0.11,0.11,NA,NA,NA,NA,NA,NA
L15400TG2009PLC062658,KAPSTON FACILITIES MANAGEMENT LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.17,0.1
L15410MH1991PLC135359,GODREJ AGROVET LIMITED,NA,NA,NA,NA,203,4.06,215.55,4.18,234.87,4.55
L15412WB1918PLC002964,Britannia Industries Ltd,367.43,7.35,523,10.46,790.22,15.8,1006.85,22.14,1236.5,24.73
L15419PN1985PLC037347,TASTY BITE EATABLES LTD,0,0,10.02,0.3,15.18,0.3,25.49,0.49,33.6,0.04
L15420AP1947PLC000326,The Andhra Sugars Limited,122.52,2.45,65.16,1.31,49.94,0,77.33,1.65,124.33,2.7
L15420PN1933PLC133303,Tilaknagar Industries Limited,66.4,1.33,39.3,1.03,-73.98,0.58,-187.65,0.56,-246.8,0.71
L15420UP1931PLC065243,BAJAJ HINDUSTHAN SUGAR LIMITED,NA,NA,NA,NA,0,1.3,NA,NA,NA,NA
L15421PN1939PLC006738,The Ugar Sugar Works Ltd,6.44,0,NA,NA,NA,NA,10.49,0,NA,NA
L15421TG1995PLC020720,GAYATRI SUGARS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.15,0.14
L15421TN1960PLC004310,Kothari Sugars And Chemicals Limited,14.21,0.28,7.63,0.15,1.05,0.02,3.13,0.06,4.97,0
L15421TN1995PLC033198,K.C.P.Sugar And Industries Corporation Limited,0,0,23.86,0.38,5.62,0.28,1.61,0.21,0,0.2
L15421TZ1983PLC001358,Bannari Amman Sugars Limited,1.16,0.02,0,0,22.62,0.45,72.33,1.48,109.63,2.28
L15421UP1971PLC003492,K M SUGAR MILLS LIMITED,0,0,5.4,0.11,10.59,0.21,19.01,0.32,24.97,0.51
L15421UP1993PLC018642,DWARIKESH SUGAR INDUSTRIES LIMITED,NA,NA,NA,NA,0,0,75.98,2.96,120.23,4.24
L15421WB1975PLC030118,Balrampur Chini Mills Ltd,78.47,1.57,48.47,0.97,12.66,0.44,250.22,3.97,386.08,2.9
L15422TN1996PLC037200,PONNI SUGARS (ERODE) LIMITED,0,0,0,0,-0.95,0,6.33,0,9.5,0.29
L15424PB1990PLC010903,INDIAN SUCROSE LIMITED,NA,NA,NA,NA,0,0.02,0,0,0,0.38
L15424PB1993PLC013137,Piccadily Sugar And Allied Industries Limited,1.48,0.03,NA,NA,NA,NA,NA,NA,NA,NA
L15440TG1983PLC004363,BAMBINO AGRO INDUSTRIES LIMITED,0,0,7.18,0.36,0,0,0,0,NA,NA
L15490AP2012PLC080067,APEX FROZEN FOODS LIMITED,NA,NA,NA,NA,NA,NA,32,0.64,59.99,0.64
L15491AS2009PLC009345,James Warren Tea Limited,14.93,0.3,14.54,0.3,0,0.48,12.08,0,3.98,0.22
L15491WB1945PLC012771,Jay Shree Tea And Industries Limited,NA,NA,1.8,0.04,-21.77,0.1,-17.36,0.12,-8.73,0.1
L15491WB1962PLC031425,Tata Global Beverages Limited,186,3.91,224.85,4.5,265.41,5.97,306.88,6.51,383,8.09
L15491WB1983PLC035793,Kanco Tea & Industries Limited,4.43,0.09,3.96,0.17,3.02,0.1,0,0,NA,NA
L15491WB1997PLC082808,Dhunseri Investments Limited,NA,NA,7.75,0.16,10.2,0.2,10.53,0.21,6.81,0.14
L15492WB1916PLC002697,Dhunseri Petrochem Limited,NA,NA,71.44,1.43,65.15,1.3,44.09,0.88,43.51,0.87
L15492WB1924GOI004835,Balmer Lawrie And Company Limited,193,3.87,197.15,0,206.32,0,223.65,4.38,240.6,5.16
L15494RJ1992PLC016617,Ajanta Soya Limited (Transfer From Delhi  To Rajasthan),NA,NA,NA,NA,3.75,0.07,6.77,0.14,NA,NA
