CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
U72200AP2000PLC033959,Netmatrix Crop Care Limited,NA,NA,6.47,0,2.07,0,NA,NA,NA,NA
U72200AP2000PTC033213,Satyam Venture Engineering Services Private Limited,33.81,0.68,27.72,0.55,31.94,0.64,32.64,0.66,NA,NA
U72200AP2000PTC033837,Keimed Private Limited,5.81,0.12,8.062451233,0.1614491,0,0,0,0,NA,NA
U72200AP2000PTC033846,EXTRANET SOFTWARE SOLUTIONS PRIVATE LIMITED,2.55,0,3.56,0,3.56,0,3.27,0,NA,NA
U72200AP2000PTC034142,Net Net Web.Com Private Limited,NA,NA,12.62,0.09,12.62,0.09,13.31,0.13,13.68,0
U72200AP2007PTC052623,PATRA INDIA BPO SERVICES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.06,0.13
U72200BR1994PTC005774,Lepton Software Export & Research Private Limited,3.79,0,3.79,0,4.32,0.02,0,0,NA,NA
U72200CH2004PTC026935,Wsp Consultants India Private Limited,0.77,0.02,4.01,0.08,7,0.14,8.67,0.17,16.08,0.32
U72200CH2006PTC030526,OPEN ACCESS TECHNOLOGY INDIA PRIVATELIMITED,NA,NA,NA,NA,NA,NA,3.8,0,4.5,0.02
U72200CT2015PTC001717,NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,2.89,0,5.05,0.09
U72200DL1971PLC005742,Technip India Limited,96.82,0,127.18,2.54,175.36,3.51,183.52,4.1,185.24,3.59
U72200DL1973PLC110617,MODICARE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.15
U72200DL1985PLC020782,Marc Laboratories Limited,NA,NA,4.99,0.1,4.99,0.1,5.62,0,NA,NA
U72200DL1987PTC026587,Infres Methodex Private Limited,14.52,0.29,26.01,0.52,35.77,0,38.14,0,26.66,0
U72200DL1992PLC047870,Alcatel-Lucent India Limited,NA,NA,52.76,0,70.72,0.35,0,0,198.68,0.6
U72200DL1992PLC049074,Newgen Software Technologies Limited,36.37,0.25,50.31,1.01,48.52,1.05,0,0,NA,NA
U72200DL1993PTC330116,FIS SOLUTIONS (INDIA) PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,54.86,0.12,68.4,1.34
U72200DL1994PTC181176,Mobisoft Telesolutions Private Limited,NA,NA,5.24,0.11,3.99,0.11,NA,NA,NA,NA
U72200DL1994PTC333197,LEPTON SOFTWARE EXPORT & RESEARCHPRIVATE LIMITED,NA,NA,3.79,0,4.32,0.02,5.03,0.01,5.29,0.11
U72200DL1997PTC087067,Bas Engineering Private Limited,0,0,0,0.13,0,0.16,NA,NA,NA,NA
U72200DL1997PTC089032,BUSY INFOTECH PVT LTD,NA,NA,NA,NA,NA,NA,0,0,15.27,0.31
U72200DL1997PTC089388,SDG SOFTWARE INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,4.94,0,3.69,0
U72200DL1997PTC090805,LPS BOSSARD PRIVATE LIMITED,0,0,6.04,0.12,7.31,0.15,10.84,0.33,11.13,0.61
U72200DL1997PTC221131,MENTOR GRAPHICS (INDIA) PRIVATE LIMITED,0,0,22.0781833,0.2424333,28.37,0.32,41.17,0.29,50.22,0.42
U72200DL1997PTC250622,Adobe Systems India Private Limited,118.2,2.36,69.19,4.06,73.05,0,0,0,161.77,3.2
U72200DL1998PTC092908,XCHANGING TECHNOLOGY SERVICES INDIAPRIVATE LIMITED,0,0,0,0,88.6,1.77,123.75,2.48,157.5,3.15
U72200DL1998PTC093824,Microsoft India (R&D) Private Limited,294.35,6.01,339.55,7.05,414.36,8.53,344,7.79,247.21,4.95
U72200DL1999PTC098404,Mckinsey Knowledge Centre India Private Limited,0.88,0.88,52.69,1.05,56.29,1.13,62.01,1.24,70.17,1.4
U72200DL1999PTC098629,Igt Solutions Private Limited.,26.99,0.54,41.49,0.83,0,0,0,0,NA,NA
U72200DL1999PTC099888,Exl Service.Com(India) Private Limited,107.57,2.15,163.19,3.26,0,0,0,0,271.23,1.74
U72200DL1999PTC102972,CONCENTRIX DAKSH SERVICES INDIA PRIVATE LIMITED,NA,NA,NA,NA,205.18,1.4,248.01,0.96,303.91,5.29
U72200DL2000PLC108674,MARG ERP LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,7.6,0
U72200DL2000PLC108985,One 97 Communications Limited,45.67,0.91,NA,NA,NA,NA,0,2.28,NA,NA
U72200DL2000PTC103314,Onkar Infotech Private Limited,12.05,0.33,14.84,0.32,14.84,0.32,16.39,0.32,16.98,0.32
U72200DL2000PTC103435,ARIBA INDIA PRIVATE LIMITED,0,0,13.41,0,17.07,0,0,0,NA,NA
U72200DL2000PTC107313,E 2 E SOLUTIONS PRIVATE LIMITED,NA,NA,0,0,0,0,7.43,0.01,8.83,0.01
U72200DL2000PTC109034,BENTLEY SYSTEMS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,6.56,0.38,11.62,0.67
U72200DL2000PTC221927,G-Cube Webwide Software Private Limited,NA,NA,5.86,0,5.86,0,4.95,0.03,5.76,0.24
U72200DL2000PTC264692,INDUS VALLEY PARTNERS (INDIA) PRIVATELIMITED,0,0,72.97,1.46,84.55,1.69,90.39,1.03,0,1.01
U72200DL2000PTC278593,Convergys Stream Private Limited,9.4,0.19,NA,NA,NA,NA,NA,NA,NA,NA
U72200DL2001PTC111183,Ebiz.Com Private Limited,0,0.26,18.41,0.37,21.94,0.44,26.99,0.54,NA,NA
U72200DL2001PTC111569,Sunder Systems Private Limited,25.7,0.51,29.48,0,33.64,0.71,36.91,0.76,38.45,0
U72200DL2001PTC112391,TOSHIBA INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,12.95,0.26,13.36,0.27
U72200DL2002PTC114964,Fidelity Information Services India Private Limited,23.06,0.46,31.95,0.64,45.37,1,63.16,1.26,NA,NA
U72200DL2003PTC121193,HBA INTERNATIONAL (INDIA) PRIVATELIMITED,NA,NA,NA,NA,0,0,0,0,5.41,0.1
U72200DL2003PTC121780,Ion Trading India Private Limited,5.34,0.11,5.35,0.11,7.37,0.15,9.43,0.19,13.38,0.35
U72200DL2004FTC129462,Oberthur Technologies India Private Limited,NA,NA,NA,NA,12.73,0.25,27.36,0.05,NA,NA
U72200DL2004FTC131692,Navisite India Private Limited,6.23,0.12,6.23,0.12,7.73,0.15,8.96,0.18,9.86,0.2
U72200DL2004PLC126213,VIRSTRA I-TECHNOLOGY SERVICES LIMITED,0,0,5.56,0.11,0,0,0,0,5.58,0
U72200DL2004PTC126484,Mediatek India Technology Private Limited,9.43,0.18,11.68,0.23,14.88,0.3,17.78,0.36,18.16,0.36
U72200DL2004PTC126951,Arkadin Conferindia Private Limited,6.16,0.34,6.16,0.34,6.38,0.13,6.67,0.13,7.25,0.15
U72200DL2004PTC127540,LAKSHYA DIGITAL PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,2.05,0
U72200DL2004PTC127587,Ml Outsourcing Services Private Limited,NA,NA,3.97,0.08,3.97,0.08,0,0,9.09,0.18
U72200DL2004PTC130799,Advant I.T.Park Private Limited,6.32,0.04,0,0,0,0.2,0,0,0,0.16
U72200DL2004PTC224628,Mentor Graphics (Sales And Services) Private Limited,5.18,0,5.18,0,6.05,0,0,0,7.07,0.16
U72200DL2004PTC228400,Atc Telecom Infrastructure Private Limited,NA,NA,105.37,2.1,0,0,0,0,NA,NA
U72200DL2005PLC134789,ANSAL IT CITY & PARKS LIMITED,0,0,8.97,0.18,9.07,0,NA,NA,0,0
U72200DL2005PTC134488,FIS PAYMENT SOLUTIONS & SERVICES INDIAPRIVATE LIMITED,0,0,32.92,0.66,17.43,0.35,10.19,0.2,NA,NA
U72200DL2005PTC134647,Bold Technology Systems Private Limited,NA,NA,3.43,0.07,3.43,0.07,0,0,7.33,0.15
U72200DL2005PTC134669,Puresoftware Private Limited,NA,NA,3.5,0,3.5,0,5.06,0.03,4.42,0.24
U72200DL2005PTC135756,K V AROMATICS PRIVATE LIMITED,0,0,21.22,0.35,NA,NA,0,0,NA,NA
U72200DL2005PTC136437,Pluto Software Private Limited,NA,NA,6.47,0.04,6.47,0.02,6.58,0.05,5.69,0.07
U72200DL2005PTC138035,Ciena India Private Limited,18.82,0.38,21.58,0.43,27.32,0.55,33.14,0.66,39.41,0.79
U72200DL2005PTC138989,RAH INFOTECH PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,8.24,0
U72200DL2005PTC139005,Hughes Systique Private Limited,NA,NA,3,0.06,6.05,0.12,6.44,0.08,7.59,0.07
U72200DL2005PTC139739,AMERIPRISE INDIA PRIVATE LIMITED,0,0,7.329628333,0.1484883,17.88,0.26,31.89,0.22,NA,NA
U72200DL2005PTC140087,Tribal Fusion R&D Private Limited,6.38,0.04,6.38,0.04,6.92,0.13,0,0,NA,NA
U72200DL2005PTC140245,Annik Technology Services Private Limited,7.64,0.15,11.15,0.22,14.02,0.28,13.1,0.26,13.06,0.21
U72200DL2005PTC141018,Fact Software Private Limited,12.19,0.24,10.78,0.22,10.29,0.21,8.81,0,NA,NA
U72200DL2005PTC142008,SPINKS SOFTECH PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,7.22,0.15
U72200DL2005PTC170412,Open Solutions Software Services Private  Limited,8.74,0.17,9.12,0.19,9.35,0.19,9.81,0.22,11.12,0.21
U72200DL2005PTC309736,ARICENT TECHNOLOGIES PRIVATE LIMITED,NA,NA,NA,NA,15.47,0.12,12.23,0.23,-2.27,0
U72200DL2005PTC336681,IXIA TECHNOLOGIES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,15.74,0.31,NA,NA
U72200DL2006FTC146390,Cvent India Private Limited,8.68,0.04,16.55956597,0.3049,21.38,0.4,26,0.52,29.46,0.57
U72200DL2006FTC156765,TSYS CARD TECH SERVICES INDIA PRIVATELIMITED,0,0,10.68,0.24,0,0,0,0,NA,NA
U72200DL2006PTC145959,Guavus Network Systems Private Limited,6.5,0.04,9.45,0.03,10.97,0.08,0,0,8.63,0.06
U72200DL2006PTC146069,Okaya Infocom Private Limited,8.68,0,8.68,0,7.55,0,0,0,NA,NA
U72200DL2006PTC146928,XEBIA IT ARCHITECTS INDIA PRIVATELIMITED,NA,NA,NA,NA,NA,NA,0,0,0,0.1
U72200DL2006PTC148179,LORD KRISHNA I T SERVICES PRIVATE LIMITED,1.19,0.01,1.19,0.01,0,0,0,0,NA,NA
U72200DL2006PTC149713,Stryker Global Technology Center Private Limited,18.79,0,20.53,0.41,22.22,0.44,23.16,0.2,29.02,0
U72200DL2006PTC152905,US TECH SOLUTIONS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,2.41,0.05
U72200DL2006PTC153008,DELTA SOFTPRO PRIVATE LIMITED,NA,NA,NA,NA,5.81,0.12,0,0,NA,NA
U72200DL2006PTC271618,Diksha Windsor Computers Private Limited.,17.48,0,NA,NA,NA,NA,6.48,0.45,6.98,0
U72200DL2006PTC276587,Ramboll India Private Limited,13.79,0.28,14.98,0.3,17.9,0.36,15.87,0.03,20.3,0.15
U72200DL2006PTC323292,Head Infotech India Pvt Ltd,NA,NA,NA,NA,73.99,1.48,0,0,NA,NA
U72200DL2007PTC159134,DATAFLOW SERVICES (INDIA) PRIVATELIMITED,NA,NA,NA,NA,NA,NA,0,0,5.38,0.11
U72200DL2007PTC162619,VVDN TECHNOLOGIES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,7.25,0.15
U72200DL2007PTC177161,DASSAULT SYSTEMES INDIA PRIVATE LIMITED,0,0,14.36,0.29,16.24,0.32,18.09,0.07,25.88,0.69
U72200DL2007PTC319236,SISL INFOTECH PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.57,0.07
U72200DL2007PTC331316,FIS SOLUTIONS SOFTWARE (INDIA) PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,14.13,0,16.67,0.33
U72200DL2008PTC172755,NAGARRO ENTERPRISE SERVICES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,7.07,0.02,NA,NA
U72200DL2008PTC183181,RESBIRD TECHNOLOGIES PRIVATE LIMITED,0,0,58.88,1.18,70.39,1,70.45,1.85,70.89,1.43
U72200DL2008PTC185688,Zillious Solutions Private Limited,4.27,0,4.27,0,5.19,0,5.86,0.03,NA,NA
U72200DL2009FTC189031,Samsung Data Systems India Private Limited,4.62,0,12.98,0.26,29.42,0.59,61.17,1.22,NA,NA
U72200DL2009PTC192440,ACS GLOBAL TECH SOLUTIONS PRIVATELIMITED,NA,NA,NA,NA,NA,NA,0,0,45.1,0.16
U72200DL2010FTC202752,Axtria India Private Limited,4.66,0.09,4.66,0.09,9.64,0.03,16.15,0.17,19.3,0.45
U72200DL2010PTC199596,Sine Info Ventures Private Limited,5.24,0,5.55,0,5.55,0,5.67,0,5.12,0
U72200DL2010PTC203248,Wingify Software Private Limited,7.28,0.15,7.28,0.15,8.79,0.18,19.95,0.4,31.96,0.64
U72200DL2010PTC204192,Ericsson India Global Services Private Limited,386.8,3.4,595.8,11.92,727.93,14.59,725.2,6.55,655.8,9.6
U72200DL2011FTC227638,AMAZON INTERNET SERVICES PRIVATE LIMITED,NA,NA,0,0,0,0,3.6,0.07,37.7,0.49
U72200DL2011PTC215210,Momagic Technologies Private Limited,NA,NA,2.8,0.06,11.55,0.23,20.02,0,22.05,0
U72200DL2011PTC220811,GREENWIRE TECHNOLOGIES AND CONSULTANTS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,4.84,0.1,8.64,0.17
U72200DL2011PTC225096,SSA INFOSYSTEMS PRIVATE LIMITED,0,0,0,0,19.08,0.38,28.85,0.35,NA,NA
U72200DL2011PTC225826,ACCELETRADE TECHNOLOGIES PRIVATE LIMITED,NA,NA,0.02,0.06,0.02,0.06,0,0,NA,NA
U72200DL2012PLC242944,HCL INFOTECH LIMITED,NA,NA,NA,NA,-96.76,0.23,NA,NA,NA,NA
U72200DL2012PTC235609,CAASTLE TECHNOLOGY AND SERVICES INDIAPRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.91,0.02
U72200DL2012PTC239963,Taj Computer Solutions Private Limited,3.64,0.07,3.64,0.07,5.63,0.11,0,0,6.78,0.14
U72200DL2013NPL249988,GOODS AND SERVICES TAX NETWORK,NA,NA,NA,NA,NA,NA,NA,NA,3.19,0.06
U72200DL2013PLC254747,NXTRA DATA LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,11.8,0
U72200DL2013PTC253966,DROIDSHIFT IT SOLUTIONS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,7.34,0.01
U72200GA2006PTC004816,INVENTURUS KNOWLEDGE SOLUTIONS PRIVATELIMITED,NA,NA,0,0,12.38,0.25,21.59,0.43,31.44,0.63
U72200GJ1988PLC010830,E-Infochips Limited,68.13,1.48,89.19,1.78,118.32,2.37,130.83,3.29,NA,NA
U72200GJ1988PTC010830,E-INFOCHIPS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,144.53,3.07
U72200GJ1990PTC013246,Hitachi Hi-Rel Power Electronics Private Limited,8.37,0.11,6.37,0.12,2.54,0.11,2.29,0.01,NA,NA
U72200GJ1995PLC024465,Silver Touch Technologies Limited,6.4,0.13,6.4,0.13,5.63,0.11,4.69,0.11,NA,NA
U72200GJ1996PTC028920,ACADEMY FOR COMPUTER TRAINING (GUJ)PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.81,0
U72200GJ1997PTC043461,INDUSA INFOTECH SERVICES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,0,0,6.7,0.11
U72200GJ1998PTC034047,Matrix Comsec Private Limited,5.68,0.11,6.5,0.13,9.35,0.19,13.75,0.12,16.76,0
U72200GJ1998PTC034948,Allscripts (India) Private Limited,41.04,0.82,35,0.7,0,0,0,0,NA,NA
U72200GJ1999PTC036269,SHRI AMBICA POLYMER PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,6.77,0.15,8.81,0.18
U72200GJ2000PTC037637,MOTIF INDIA INFOTECH PRIVATE LIMITED,0,0,0,0.34,21.18,0.42,29.6,0.04,15.98,0.41
U72200GJ2000PTC038563,CYGNET INFOTECH PRIVATE LIMITED,0,0,9.77,0.2,11.06,0.22,10.54,0.08,11.53,0.13
U72200GJ2000PTC038603,KOTHARI INFOTECH PRIVATE LIMITED,NA,NA,3.72,0.19,3.72,0.19,7.32,0,8.69,0
U72200GJ2001PLC039513,Welspun Tradings Limited,8.18,0.16,11.15454,0.2230908,11.64,0.23,12.61,0.25,15.02,0.3
U72200GJ2001PTC040073,Effective Tele Services Private Limited,11.43,0.01,11.43,0.01,5.05,0,9.29,0.19,11.59,0.23
U72200GJ2001PTC100083,AVENUES (INDIA) PRIVATE LIMITED,NA,NA,NA,NA,10.12,0,0,0,NA,NA
U72200GJ2002PTC040797,FINLOGIC TECHNOLOGIES INDIA PRIVATELIMITED,NA,NA,NA,NA,NA,NA,0,0,5.83,0.2
U72200GJ2003PTC042402,Gulbrandsen Technologies (India) Private Limited,9.48,0,15.6506374,0.0950681,21.91,0.13,32.78,0.14,44.01,0.16
U72200GJ2004PTC044670,Priya Softweb Solutions Private Limited,3.44,0,3.44,0,3.98,0.13,5.19,0.21,4.91,0.1
U72200GJ2005PTC046802,Mastercard Mobile Transactions Solutions Private Limited,4.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA
U72200GJ2006PLC048011,E-Procurement Technologies Limited,3.17,0,5.17,0.1,6.06,0.12,5.45,0.12,6.3,0
U72200GJ2006PLC048349,Cignex Datamatics Technologies Limited,NA,NA,NA,NA,5,0.1,0,0,2.29,0
U72200GJ2006PTC047857,Sophos Technologies Private Limited,16.5,0.33,30.64,0.61,71.99,1.44,82.83,1.66,87.84,1.76
U72200GJ2006PTC048723,NASCENT INFO TECHNOLOGIES PRIVATELIMITED,NA,NA,NA,NA,NA,NA,4.12,0.04,4.14,0
U72200GJ2006PTC103894,ECLINICALWORKS INDIA PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,32.37,0,NA,NA
U72200GJ2008PTC052873,GRAVITAS TECHNOLOGY PRIVATE LIMITED,NA,NA,NA,NA,0,0,0,0,7.07,0.14
U72200GJ2008PTC055122,JEKSON VISION PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,17.47,0,39.69,0
U72200GJ2010PTC060089,AUTOMATION ANYWHERE SOFTWARE PRIVATELIMITED,NA,NA,NA,NA,NA,NA,3.84,0,7.24,0.22
U72200GJ2012PTC068683,APTTUS SOFTWARE PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,5.73,0.11,10.77,0.22
U72200GJ2014FTC079319,INFOSTRETCH CORPORATION (INDIA) PRIVATE LIMITED,NA,NA,3.71,0.05,3.71,0.05,0,0,5.75,0.15
U72200HP2005PTC028970,Altruist Technologies Private Limited,21.92,0.41,25.01,0.52,18.32,0.23,18.3,0.65,19.28,0
U72200HR1995PLC049183,Xerox India Limited,NA,NA,2.35,0.05,17.6,0.35,37.71,0.76,52.55,1.06
U72200HR1999PLC041214,Comviva Technologies Limited,45.36,0.91,100.705,2,121.32,2.43,112.64,2.3,0,2.3
U72200HR2000PTC038808,Symbol Technologies India Private Limited,8.01,0,NA,NA,NA,NA,NA,NA,NA,NA
U72200HR2001PTC038118,Agilent Technologies (International) Private Limited,23.4,0.47,34.67,0.69,0,0.66,28.65,0.57,26.04,0.52
U72200HR2003PTC043637,Atc Telecom Tower Corporation Private Limited,132.59,2.65,139.45,2.79,0,0,0,0,NA,NA
U72200HR2004PTC074149,NETSMARTZ INFOTECH (INDIA) PRIVATELIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.19,0
U72200HR2005PLC035665,Dlf Info City Developers (Chennai) Limited,100.54,2.01,243.88,0,0,0,0,0,NA,NA
U72200HR2005PTC035745,ILABS INFO TECHNOLOGY CENTER (GURGAON) PRIVATE LIMITED,NA,NA,3.4,0,3.4,0,5.5,0,8.19,0
U72200HR2006PTC036277,DIGITAL COMPUSYSTEMS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,5.76,0,7.69,0
U72200HR2013PTC048898,KONVERGE TECHNOLOGIES PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,3.16,0
U72200HR2013PTC049016,Veridic Technologies Private Limited,4.11,0,4.11,0.08,4.58,0.08,0,0,5.36,0.16
U72200HR2013PTC049584,Xceedance Infotech Private Limited,2.22,0,3.33,0,0,0,0,0,NA,NA
U72200KA1982PTC011338,INTEGRA MICRO SYSTEMS PRIVATE LIMITED,NA,NA,NA,NA,0,0,0,0,17.34,0.35
U72200KA1988PTC009435,Hewlett Packard (India) Software Operation Private Limited,117.69,2.69,160.89,3.44,195.95,3.92,269.5,5.39,255.36,5.12
U72200KA1989PTC010490,Anz Operations And Technology Private Limited Cn,111.1,0.6,97.08,1.94,109.08,2.18,111.4,2.24,137.43,2.75
U72200KA1991PTC012483,TALLY SOLUTIONS PRIVATE LIMITED,NA,NA,NA,NA,0,0,0,0,127.73,2.57
U72200KA1991PTC012629,Accord Software And Systems Private Limited,12.64,0.17,14.5,0.05,0,0.26,12.05,0.1,NA,NA
U72200KA1994FTC015606,MICRO FOCUS SOFTWARE INDIA PRIVATELIMITED,0,0,18.46,0.37,22.99,0.03,26,0.43,26.59,0.48
U72200KA1994FTC016379,Honeywell Technology Solutions Lab Private Limited,390.5,7.81,0,9.2,491.92,9.5,524.46,10.49,581.24,11.62
U72200KA1994PTC015888,KRISHI TECHNOLOGIES PRIVATE LIMITED,NA,NA,0,0,0,0,0,0,3.68,0
U72200KA1994PTC016007,Aditi Technologies Private Limited,2.61,0.05,29.15,0.58,25.2,0,0,0,NA,NA
U72200KA1994PTC016336,ACI WORLDWIDE SOLUTIONS PRIVATE LIMITED,0,0,12.46,0.25,11.46,0,12.98,0.05,0,0
U72200KA1994PTC068981,Parametric Technology (India) Private Limited,NA,NA,0,0,28.69,0.57,28.54,0.59,NA,NA
U72200KA1995PLC065161,Trigent Software Limited,5.2,0,5.2,0,3.85,0,NA,NA,NA,NA
U72200KA1995PTC018484,SAP LABS INDIA PRIVATE LIMITED,0,0,115.24,2.3,153.4,3.05,216.24,4.3,336.93,6.18
U72200KA1995PTC019075,Webex Communications (India) Private Limited,6.54,0,8.63,0.16,7.93,0.15,0,0,4.84,0.09
U72200KA1995PTC019138,Cgi Information Systems And Management Consultants Private Limited,127.26,2.55,205.81,4.12,0,5.44,321.13,0.18,354.1,6.88
U72200KA1996PTC020063,SAP INDIA PRIVATE LIMITED,0,0,374.5,7.49,153.4,3.05,382.9,9,NA,NA
U72200KA1996PTC020391,Altair Engineering India Private Limited,25.08,0.08,26.11,0.28,0,0.58,28.36,0.63,25.53,0.4
U72200KA1996PTC020645,Triveni Hi-Tech Private Limited,NA,NA,4.25,0,4.25,0,4.25,0.09,6.09,0.12
U72200KA1996PTC020663,NOUS INFOSYSTEMS PVT.LTD.,NA,NA,0,0,9.08,0.18,11.33,0.23,15.02,0.4
U72200KA1997PTC021771,Tricon Infotech Private Limited,5.2,0.01,8.61,0.13,7.57,0.12,8.02,0.03,7.18,0.02
U72200KA1997PTC022158,EMERSON AUTOMATION SOLUTIONS INTELLIGENT PLATFORMS PRIVATE L,NA,NA,NA,NA,NA,NA,NA,NA,4.38,0.1
U72200KA1997PTC022382,Ibm India Private Limited,1820,36.4,160.36,32.1,1958.6,39.2,4080,5.27,4674.1,30.58
U72200KA1997PTC022727,Hp India Sales Private Limited,344.2,7.5,390,1.1,349.7,6.99,0,0,300,5.99
U72200KA1997PTC094389,AMD RESEARCH & DEVELOPMENT CENTER INDIA PRIVATE LIMITED,NA,NA,17.2274494,0.3486426,40.12,1.2,0,0,41.71,1.27
U72200KA1998PTC023481,Quality Engineering And Software Technologies Private Limited,31.73,0.63,20.95,0.42,0,0,0,0,NA,NA
U72200KA1998PTC023511,TORRY HARRIS BUSINESS SOLUTIONS PRIVATELIMITED,0,0,62.17,1.24,57.67,1.15,52,0.03,NA,NA
U72200KA1998PTC023715,Aptean India Private Limited,NA,NA,6.51,0.05,6.51,0.05,0,0.17,11.2,0.19
U72200KA1998PTC023808,SURYA SOFTWARE SYSTEMS PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,1.87,0,1.88,0.07
U72200KA1998PTC024308,Autodesk India Private Limited,5.46,0.11,6.07,0.12,7.26,0.15,4.55,0.09,3.75,0.08
U72200KA1998PTC024425,Unilog Content Solutions Private Limited,6.24,0.03,8.1,0.03,4.97,0.05,2.43,0.02,NA,NA
U72200KA1998PTC038932,Mphasis Software And Services (India) Private Limited,NA,NA,20.38,0.41,18.71,0,1.6,0.01,15.53,0
U72200KA1999FTC025412,SYNCHRONOSS TECHNOLOGIES INDIA PRIVATELIMITED,0,0,14.29,0.29,21.28,0.43,24.97,0.07,33.65,0.15
U72200KA1999PLC025275,Velankani Information Systems Limited,NA,NA,5.54,0.11,5.54,0.3,26.33,0,27.59,0
U72200KA1999PTC025189,Cypress Semiconductor Technology India Private Limited,22.13,0.46,23.18,0.46,32.68,0.65,28.22,0,0,0.12
U72200KA1999PTC025232,Mistral Solutions Private Limited,4.17,0.08,4.22,0.08,6.35,0.13,0,0,11.38,0.16
U72200KA1999PTC025643,SHARP SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,0,7.82,0.16
U72200KA1999PTC033050,COREEL TECHNOLOGIES (INDIA) PRIVATE LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.15,0
U72200KA1999PTC039933,Nuance Transcription Services India Private Limited,25.23,0,26.04389527,0,23.47,0,0,0,31.65,0
U72200KA2000PTC026214,Cibersites India Private Limited,23.41,0.47,22.91,0.46,25.08,0.5,0,0.34,9.15,0.2
U72200KA2000PTC026220,Valtech India Systems Private Limited,11.5,0.23,13.06,0.26,14.04,0.28,9.54,0.19,10.48,0.09
U72200KA2000PTC026229,Microchip Technology (India) Private Limited,13.49,0.27,15.44,0.31,10.44,0.21,35.47,0.25,33.41,0.37
U72200KA2000PTC026561,Autonomy Software Asia Private Limited,7.84,0.16,8.46,0.21,9.27,0.19,0,0,8.75,0.18
U72200KA2000PTC026639,Talisma Corporation Private Limited,5.37,0.11,0,0.15,10.51,0.21,9.27,0.19,0.62,0.17
U72200KA2000PTC026694,"24/7, Customer Private Limited",NA,NA,0,0,53.64,1.07,69.85,0,87.17,0.3
U72200KA2000PTC026751,First Advantage Global Operating Center Private Limited,11.72,0.24,15.59,0.31,22.45,0.45,29.12,0.58,27.48,0.55
U72200KA2000PTC026767,Nedcommodities India Private Limited,NA,NA,0,0.13,5.53,0.11,0,0.33,NA,NA
U72200KA2000PTC027020,Way2Wealth Securities Private Limited,NA,NA,2.97,0.06,9.97,0,15.61,0.18,NA,NA
U72200KA2000PTC027044,Zinnov Management Consulting Private Limited,3.01,0.06,3.01,0.06,4.42,0.09,6.29,0.13,7.4,0.15
U72200KA2000PTC027194,SUMERU SOFTWARE SOLUTIONS PRIVATELIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0.09
U72200KA2000PTC027232,Societe Generale Global Solution Centre Private Li,97.02,2.16,127.48,2.55,164.77,3.3,194.09,3.97,245.52,5
U72200KA2000PTC027412,Igefi Software India Private Limited,6.35,0,6.35,0,0,0,0,0,NA,NA
U72200KA2000PTC027503,Slk Software Services Private Limited,0,1.43,78.47,1.57,134.45,2.69,142.36,1.82,0,1.94
